연도,가수,곡명,최고순위,잔존주,가수그룹
2009,원더걸스,Nobody,76,1,원더걸스
2012,싸이,강남스타일 (Gangnam Style),2,31,싸이
2013,싸이,GENTLEMAN,5,15,싸이
2014,싸이 스눕 독,HANGOVER,26,1,싸이
2015,싸이,Daddy,97,1,싸이
2015,CL,LIFTED,94,1,CL
2017,방탄소년단,DNA,67,4,방탄소년단
2017,방탄소년단Desiigner,MIC Drop(Steve Aoki Remix) (Feat. Desiigner),28,10,방탄소년단
2018,방탄소년단,FAKE LOVE,10,6,방탄소년단
2018,BLACKPINK,뚜두뚜두 (DDU-DU DDU-DU),55,1,BLACKPINK
2018,방탄소년단,IDOL(Feat. Nicki Minaj),11,3,방탄소년단
2018,두아 리파BLACKPINK,Kiss and Make Up,93,1,BLACKPINK
2018,스티브 아오키방탄소년단,Waste It on Me(Feat. BTS),89,1,방탄소년단
2019,핑크퐁,Baby Shark,32,20,핑크퐁
2019,BLACKPINK,Kill This Love,41,4,BLACKPINK
2019,방탄소년단Halsey,작은 것들을 위한 시 (Boy With Luv)(Feat. Halsey),8,8,방탄소년단
2019,방탄소년단Lauv,Make It Right(Feat. Lauv),76,2,방탄소년단
2019,제이홉 (방탄소년단)Becky G,Chicken Noodle Soup(Feat. Becky G),81,1,방탄소년단
2020,방탄소년단,Black Swan,57,1,방탄소년단
2020,방탄소년단,ON,4,2,방탄소년단
2020,방탄소년단,시차 (My Time),84,1,방탄소년단
2020,방탄소년단,Filter,87,1,방탄소년단
2020,Agust D (방탄소년단),대취타 (DAECHWITA),76,1,방탄소년단
2020,레이디 가가BLACKPINK,Sour Candy,33,2,BLACKPINK
2020,BLACKPINK,How You Like That,33,2,BLACKPINK
2020,방탄소년단,Dynamite,1,32,방탄소년단
2020,BLACKPINK셀레나 고메즈,Ice Cream(with Selena Gomez),13,8,BLACKPINK
2020,BLACKPINK,Lovesick Girls,59,1,BLACKPINK
2020,조쉬 685제이슨 데룰로방탄소년단,Savage Love(Laxed - Siren Beat) [BTS Remix],1,1,방탄소년단
2020,방탄소년단,Life Goes On,1,3,방탄소년단
2020,방탄소년단,Blue & Grey,13,1,방탄소년단
2020,방탄소년단,Stay,22,1,방탄소년단
2020,방탄소년단,내 방을 여행하는 법(Fly To My Room),69,1,방탄소년단
2020,방탄소년단,잠시 (Telepathy),70,1,방탄소년단
2020,방탄소년단,병 (Dis-ease),72,1,방탄소년단
2021,로제 (BLACKPINK),On The Ground,70,1,BLACKPINK
2021,방탄소년단,Film out,81,1,방탄소년단
2021,방탄소년단,Butter,1,20,방탄소년단
2021,방탄소년단,Permission to Dance,1,7,방탄소년단
2021,리사 (BLACKPINK),LALISA,84,1,BLACKPINK
2021,콜드플레이방탄소년단,My Universe,1,17,방탄소년단
2021,TWICE,The Feels,83,1,TWICE
2021,리사 (BLACKPINK),MONEY,90,2,BLACKPINK
2021,Juice WRLD슈가 (방탄소년단),Girl Of My Dreams(with SUGA Of BTS),29,1,방탄소년단
2022,뷔 (방탄소년단),Christmas Tree,79,1,방탄소년단
2022,정국 (방탄소년단),Stay Alive(prod. SUGA of BTS),95,1,방탄소년단
2022,싸이슈가 (방탄소년단),That That(prod. & feat. SUGA of BTS),80,1,방탄소년단
2022,방탄소년단,Yet To Come,13,2,방탄소년단
2022,방탄소년단,달려라 방탄 (Run BTS),73,1,방탄소년단
2022,찰리 푸스정국 (방탄소년단),Left and Right(Feat. Jung Kook Of BTS),22,17,방탄소년단
2022,제이홉 (방탄소년단),MORE,82,1,방탄소년단
2022,제이홉 (방탄소년단),Arson,96,1,방탄소년단
2022,benny blanco방탄소년단[64]스눕 독,bad decisions,10,5,방탄소년단
2022,BLACKPINK,Pink Venom,22,6,BLACKPINK
2022,BLACKPINK,Shut Down,25,3,BLACKPINK
2022,진 (방탄소년단),The Astronaut,51,1,방탄소년단
2022,RM (방탄소년단)조유진,들꽃놀이 (Wild Flower)(with 조유진),83,1,방탄소년단
2023,NewJeans,Ditto,82,5,NewJeans
2023,태양지민 (방탄소년단),VIBE (feat. Jimin of BTS),76,1,방탄소년단
2023,NewJeans,OMG,74,6,NewJeans
2023,TWICE,MOONLIGHT SUNRISE,84,1,TWICE
2023,제이홉 (방탄소년단)J. Cole,on the street (Feat. J. Cole),60,1,방탄소년단
2023,지민 (방탄소년단),Set Me Free Pt.2,30,1,방탄소년단
2023,FIFTY FIFTY,Cupid,17,25,FIFTY FIFTY
2023,지민 (방탄소년단),Like Crazy,1,5,방탄소년단
2023,Agust D (방탄소년단),해금 (Haegeum),58,1,방탄소년단
2023,지민 (방탄소년단),Angel Pt 1,65,2,방탄소년단
2023,방탄소년단,Take Two,48,1,방탄소년단
2023,NewJeans,Super Shy,48,8,NewJeans
